,Wavelength,all_lambda,lambda_lt_6500,lambda_features,lambda_3500_8000
0,3010.0000000000014,1.0,1.0,0.0,0.0
1,3013.301916195297,1.0,1.0,0.0,0.0
2,3016.6074545336332,1.0,1.0,0.0,0.0
3,3019.916618988442,1.0,1.0,0.0,0.0
4,3023.2294135375028,1.0,1.0,0.0,0.0
5,3026.545842162969,1.0,1.0,0.0,0.0
6,3029.8659088513523,1.0,1.0,0.0,0.0
7,3033.1896175935485,1.0,1.0,0.0,0.0
8,3036.51697238482,1.0,1.0,0.0,0.0
9,3039.8479772248224,1.0,1.0,0.0,0.0
10,3043.1826361175886,1.0,1.0,0.0,0.0
11,3046.520953071555,1.0,1.0,0.0,0.0
12,3049.8629320995437,1.0,1.0,0.0,0.0
13,3053.20857721879,1.0,1.0,0.0,0.0
14,3056.557892450925,1.0,1.0,0.0,0.0
15,3059.9108818220025,1.0,1.0,0.0,0.0
16,3063.267549362481,1.0,1.0,0.0,0.0
17,3066.627899107253,1.0,1.0,0.0,0.0
18,3069.9919350956247,1.0,1.0,0.0,0.0
19,3073.3596613713457,1.0,1.0,0.0,0.0
20,3076.7310819825884,1.0,1.0,0.0,0.0
21,3080.1062009819802,1.0,1.0,0.0,0.0
22,3083.4850224265792,1.0,1.0,0.0,0.0
23,3086.867550377909,1.0,1.0,0.0,0.0
24,3090.2537889019345,1.0,1.0,0.0,0.0
25,3093.6437420690936,1.0,1.0,0.0,0.0
26,3097.037413954278,1.0,1.0,0.0,0.0
27,3100.43480863686,1.0,1.0,0.0,0.0
28,3103.8359302006766,1.0,1.0,0.0,0.0
29,3107.2407827340553,1.0,1.0,0.0,0.0
30,3110.6493703297974,1.0,1.0,0.0,0.0
31,3114.0616970852057,1.0,1.0,0.0,0.0
32,3117.477767102065,1.0,1.0,0.0,0.0
33,3120.8975844866727,1.0,1.0,0.0,0.0
34,3124.3211533498175,1.0,1.0,0.0,0.0
35,3127.7484778068115,1.0,1.0,0.0,0.0
36,3131.1795619774666,1.0,1.0,0.0,0.0
37,3134.6144099861285,1.0,1.0,0.0,0.0
38,3138.053025961654,1.0,1.0,0.0,0.0
39,3141.495414037441,1.0,1.0,0.0,0.0
40,3144.9415783514105,1.0,1.0,0.0,0.0
41,3148.3915230460343,1.0,1.0,0.0,0.0
42,3151.845252268316,1.0,1.0,0.0,0.0
43,3155.3027701698215,1.0,1.0,0.0,0.0
44,3158.7640809066575,1.0,1.0,0.0,0.0
45,3162.2291886395024,1.0,1.0,0.0,0.0
46,3165.6980975335878,1.0,1.0,0.0,0.0
47,3169.170811758725,1.0,1.0,0.0,0.0
48,3172.6473354892883,1.0,1.0,0.0,0.0
49,3176.127672904243,1.0,1.0,0.0,0.0
50,3179.611828187127,1.0,1.0,0.0,0.0
51,3183.0998055260784,1.0,1.0,0.0,0.0
52,3186.5916091138192,1.0,1.0,0.0,0.0
53,3190.087243147682,1.0,1.0,0.0,0.0
54,3193.586711829591,1.0,1.0,0.0,0.0
55,3197.090019366093,1.0,1.0,0.0,0.0
56,3200.597169968337,1.0,1.0,0.0,0.0
57,3204.108167852103,1.0,1.0,0.0,0.0
58,3207.6230172377846,1.0,1.0,0.0,0.0
59,3211.141722350416,1.0,1.0,0.0,0.0
60,3214.664287419655,1.0,1.0,0.0,0.0
61,3218.190716679811,1.0,1.0,0.0,0.0
62,3221.721014369826,1.0,1.0,0.0,0.0
63,3225.255184733305,1.0,1.0,0.0,0.0
64,3228.793232018496,1.0,1.0,0.0,0.0
65,3232.3351604783174,1.0,1.0,0.0,0.0
66,3235.880974370343,1.0,1.0,0.0,0.0
67,3239.430677956829,1.0,1.0,0.0,0.0
68,3242.9842755046943,1.0,1.0,0.0,0.0
69,3246.541771285551,1.0,1.0,0.0,0.0
70,3250.1031695756847,1.0,1.0,0.0,0.0
71,3253.6684746560845,1.0,1.0,0.0,0.0
72,3257.2376908124234,1.0,1.0,0.0,0.0
73,3260.8108223350882,1.0,1.0,0.0,0.0
74,3264.3878735191597,1.0,1.0,0.0,0.0
75,3267.968848664442,1.0,1.0,0.0,0.0
76,3271.553752075444,1.0,1.0,0.0,0.0
77,3275.1425880614106,1.0,1.0,0.0,0.0
78,3278.7353609362985,1.0,1.0,0.0,0.0
79,3282.332075018812,1.0,1.0,0.0,0.0
80,3285.932734632381,1.0,1.0,0.0,0.0
81,3289.53734410518,1.0,1.0,0.0,0.0
82,3293.1459077701406,1.0,1.0,0.0,0.0
83,3296.7584299649343,1.0,1.0,0.0,0.0
84,3300.3749150320036,1.0,1.0,0.0,0.0
85,3303.9953673185423,1.0,1.0,0.0,0.0
86,3307.619791176526,1.0,1.0,0.0,0.0
87,3311.2481909626913,1.0,1.0,0.0,0.0
88,3314.8805710385664,1.0,1.0,0.0,0.0
89,3318.5169357704513,1.0,1.0,0.0,0.0
90,3322.157289529449,1.0,1.0,0.0,0.0
91,3325.801636691445,1.0,1.0,0.0,0.0
92,3329.4499816371367,1.0,1.0,0.0,0.0
93,3333.1023287520156,1.0,1.0,0.0,0.0
94,3336.758682426396,1.0,1.0,0.0,0.0
95,3340.419047055395,1.0,1.0,0.0,0.0
96,3344.083427038965,1.0,1.0,0.0,0.0
97,3347.7518267818723,1.0,1.0,0.0,0.0
98,3351.4242506937267,1.0,1.0,0.0,0.0
99,3355.1007031889635,1.0,1.0,0.0,0.0
100,3358.781188686873,1.0,1.0,0.0,0.0
101,3362.4657116115804,1.0,1.0,0.0,0.0
102,3366.154276392078,1.0,1.0,0.0,0.0
103,3369.8468874622017,1.0,1.0,0.0,0.0
104,3373.543549260666,1.0,1.0,0.0,0.0
105,3377.2442662310414,1.0,1.0,0.0,0.0
106,3380.949042821785,1.0,1.0,0.0,0.0
107,3384.657883486221,1.0,1.0,0.0,0.0
108,3388.3707926825728,1.0,1.0,0.0,0.0
109,3392.0877748739404,1.0,1.0,0.0,0.0
110,3395.8088345283327,1.0,1.0,0.0,0.0
111,3399.5339761186474,1.0,1.0,0.0,0.0
112,3403.263204122702,1.0,1.0,0.0,0.0
113,3406.9965230232124,1.0,1.0,0.0,0.0
114,3410.733937307826,1.0,1.0,0.0,0.0
115,3414.475451469099,1.0,1.0,0.0,0.0
116,3418.2210700045293,1.0,1.0,0.0,0.0
117,3421.9707974165353,1.0,1.0,0.0,0.0
118,3425.7246382124886,1.0,1.0,0.0,0.0
119,3429.4825969046906,1.0,1.0,0.0,0.0
120,3433.2446780104065,1.0,1.0,0.0,0.0
121,3437.010886051843,1.0,1.0,0.0,0.0
122,3440.781225556183,1.0,1.0,0.0,0.0
123,3444.5557010555594,1.0,1.0,0.0,0.0
124,3448.334317087092,1.0,1.0,0.0,0.0
125,3452.117078192864,1.0,1.0,0.0,0.0
126,3455.9039889199544,1.0,1.0,0.0,0.0
127,3459.695053820417,1.0,1.0,0.0,0.0
128,3463.490277451312,1.0,1.0,0.0,0.0
129,3467.289664374686,1.0,1.0,0.0,0.0
130,3471.093219157603,1.0,1.0,0.0,0.0
131,3474.9009463721236,1.0,1.0,0.0,0.0
132,3478.712850595338,1.0,1.0,0.0,0.0
133,3482.5289364093424,1.0,1.0,0.0,0.0
134,3486.3492084012746,1.0,1.0,0.0,0.0
135,3490.1736711632902,1.0,1.0,0.0,0.0
136,3494.0023292925953,1.0,1.0,0.0,0.0
137,3497.8351873914266,1.0,1.0,0.0,0.0
138,3501.672250067082,1.0,1.0,0.0,1.0
139,3505.5135219319004,1.0,1.0,0.0,1.0
140,3509.3590076032942,1.0,1.0,0.0,1.0
141,3513.2087117037267,1.0,1.0,0.0,1.0
142,3517.0626388607466,1.0,1.0,0.0,1.0
143,3520.9207937069637,1.0,1.0,0.0,1.0
144,3524.7831808800847,1.0,1.0,0.0,1.0
145,3528.6498050228897,1.0,1.0,0.0,1.0
146,3532.520670783266,1.0,1.0,0.0,1.0
147,3536.3957828141847,1.0,1.0,0.0,1.0
148,3540.2751457737363,1.0,1.0,0.0,1.0
149,3544.158764325106,1.0,1.0,0.0,1.0
150,3548.046643136609,1.0,1.0,0.0,1.0
151,3551.938786881668,1.0,1.0,0.0,1.0
152,3555.835200238845,1.0,1.0,0.0,1.0
153,3559.735887891822,1.0,1.0,0.0,1.0
154,3563.640854529432,1.0,1.0,0.0,1.0
155,3567.550104845641,1.0,1.0,0.0,1.0
156,3571.4636435395637,1.0,1.0,0.0,1.0
157,3575.381475315482,1.0,1.0,0.0,1.0
158,3579.303604882822,1.0,1.0,0.0,1.0
159,3583.2300369561917,1.0,1.0,0.0,1.0
160,3587.1607762553563,1.0,1.0,0.0,1.0
161,3591.095827505272,1.0,1.0,0.0,1.0
162,3595.035195436066,1.0,1.0,0.0,1.0
163,3598.978884783065,1.0,1.0,0.0,1.0
164,3602.92690028678,1.0,1.0,0.0,1.0
165,3606.879246692934,1.0,1.0,0.0,1.0
166,3610.8359287524427,1.0,1.0,0.0,1.0
167,3614.796951221447,1.0,1.0,0.0,1.0
168,3618.762318861292,1.0,1.0,0.0,1.0
169,3622.732036438559,1.0,1.0,0.0,1.0
170,3626.706108725045,1.0,1.0,0.0,1.0
171,3630.684540497795,1.0,1.0,0.0,1.0
172,3634.66733653908,1.0,1.0,0.0,1.0
173,3638.654501636433,1.0,1.0,0.0,1.0
174,3642.6460405826215,1.0,1.0,0.0,1.0
175,3646.641958175688,1.0,1.0,0.0,1.0
176,3650.642259218922,1.0,1.0,0.0,1.0
177,3654.6469485208972,1.0,1.0,0.0,1.0
178,3658.656030895448,1.0,1.0,0.0,1.0
179,3662.669511161704,1.0,1.0,0.0,1.0
180,3666.6873941440663,1.0,1.0,0.0,1.0
181,3670.709684672243,1.0,1.0,0.02863048236918993,1.0
182,3674.7363875812252,1.0,1.0,0.5271295733179705,1.0
183,3678.767507711324,1.0,1.0,1.0,1.0
184,3682.803049908144,1.0,1.0,1.0,1.0
185,3686.8430190226213,1.0,1.0,1.0,1.0
186,3690.887419910998,1.0,1.0,1.0,1.0
187,3694.9362574348575,1.0,1.0,1.0,1.0
188,3698.9895364611025,1.0,1.0,1.0,1.0
189,3703.04726186199,1.0,1.0,1.0,1.0
190,3707.109438515105,1.0,1.0,1.0,1.0
191,3711.1760713033996,1.0,1.0,1.0,1.0
192,3715.247165115167,1.0,1.0,1.0,1.0
193,3719.3227248440776,1.0,1.0,1.0,1.0
194,3723.402755389155,1.0,1.0,1.0,1.0
195,3727.4872616548123,1.0,1.0,1.0,1.0
196,3731.576248550827,1.0,1.0,1.0,1.0
197,3735.669720992379,1.0,1.0,1.0,1.0
198,3739.7676839000233,1.0,1.0,1.0,1.0
199,3743.870142199729,1.0,1.0,1.0,1.0
200,3747.9771008228527,1.0,1.0,1.0,1.0
201,3752.0885647061764,1.0,1.0,1.0,1.0
202,3756.204538791883,1.0,1.0,1.0,1.0
203,3760.3250280275906,1.0,1.0,1.0,1.0
204,3764.450037366331,1.0,1.0,1.0,1.0
205,3768.579571766584,1.0,1.0,1.0,1.0
206,3772.7136361922535,1.0,1.0,1.0,1.0
207,3776.852235612704,1.0,1.0,1.0,1.0
208,3780.9953750027366,1.0,1.0,1.0,1.0
209,3785.1430593426235,1.0,1.0,1.0,1.0
210,3789.2952936180864,1.0,1.0,1.0,1.0
211,3793.452082820331,1.0,1.0,1.0,1.0
212,3797.6134319460225,1.0,1.0,1.0,1.0
213,3801.779345997323,1.0,1.0,1.0,1.0
214,3805.9498299818674,1.0,1.0,1.0,1.0
215,3810.124888912798,1.0,1.0,1.0,1.0
216,3814.304527808741,1.0,1.0,1.0,1.0
217,3818.4887516938447,1.0,1.0,1.0,1.0
218,3822.6775655977517,1.0,1.0,1.0,1.0
219,3826.8709745556394,1.0,1.0,1.0,1.0
220,3831.068983608191,1.0,1.0,0.5206569969969191,1.0
221,3835.2715978016367,1.0,1.0,0.021663482468891604,1.0
222,3839.4788221877257,1.0,1.0,0.0,1.0
223,3843.6906618237645,1.0,1.0,0.0,1.0
224,3847.9071217725923,1.0,1.0,0.0,1.0
225,3852.128207102617,1.0,1.0,0.0,1.0
226,3856.3539228877917,1.0,1.0,0.0,1.0
227,3860.5842742076507,1.0,1.0,0.0,1.0
228,3864.819266147285,1.0,1.0,0.0,1.0
229,3869.058903797379,1.0,1.0,0.0,1.0
230,3873.30319225419,1.0,1.0,0.0,1.0
231,3877.5521366195667,1.0,1.0,0.0,1.0
232,3881.805742000961,1.0,1.0,0.0,1.0
233,3886.0640135114277,1.0,1.0,0.0,1.0
234,3890.326956269623,1.0,1.0,0.0,1.0
235,3894.5945753998194,1.0,1.0,0.0,1.0
236,3898.8668760319206,1.0,1.0,0.0,1.0
237,3903.1438633014423,1.0,1.0,0.0,1.0
238,3907.42554234955,1.0,1.0,0.0,1.0
