wavelength,flux,flux_err,weight
1780.4,1.905430469325643e-14,5.161098941946264e-15,1.0
1781.8,1.8163142625864355e-14,3.1191011844754753e-15,1.0
1783.2,1.7069631408190424e-14,3.1304455644743672e-15,1.0
1784.6,1.9954646113914925e-14,3.1199985246619306e-15,1.0
1786.0,1.8233653581331234e-14,3.229998252677065e-15,1.0
1787.4,1.3394530024175621e-14,3.1064446873919036e-15,1.0
1788.8,1.6903348716065584e-14,3.027474354571153e-15,1.0
1790.2,1.701915134253708e-14,3.281310092262751e-15,1.0
1791.6,1.317803379171018e-14,3.0244156795500613e-15,1.0
1793.0,1.6729421431302813e-14,2.90445042515733e-15,1.0
1794.4,1.559551973925218e-14,2.8838612560751642e-15,1.0
1795.8,1.5616667548011638e-14,2.9248937244433397e-15,1.0
1797.2,1.727668588958305e-14,2.9479234346281165e-15,1.0
1798.6,1.8655076651185974e-14,2.9393419390860855e-15,1.0
1800.0,1.8348797104312173e-14,3.1802681017054272e-15,1.0
1801.4,1.6701516059577987e-14,2.8662899440701806e-15,1.0
1802.8,1.64706962533665e-14,2.6976995142407038e-15,1.0
1804.2,2.043620970265077e-14,2.7598911160405416e-15,1.0
1805.6,2.1675267770033234e-14,2.8759167911641404e-15,1.0
1807.0,1.9641459009083252e-14,2.9771865233979107e-15,1.0
1808.4,1.7596787526266184e-14,2.7767100872825214e-15,1.0
1809.8,1.7529289981552226e-14,2.808110368967821e-15,1.0
1811.2,1.7990911544278893e-14,2.620099332358454e-15,1.0
1812.6,2.0958083834415522e-14,2.9910225875337346e-15,1.0
1814.0,1.920207429882469e-14,2.653503009959072e-15,1.0
1815.4,2.1054405574521946e-14,2.562618306433126e-15,1.0
1816.8,1.7738114089821243e-14,2.5611768702692995e-15,1.0
1818.2,1.4274131089346594e-14,2.50735642608464e-15,1.0
1819.6,1.6782223034745028e-14,2.6979867875802777e-15,1.0
1821.0,2.232142544890931e-14,2.664449839165699e-15,1.0
1822.4,2.4623385273097233e-14,3.3085870187002733e-15,1.0
1823.8,1.5296385469900466e-14,3.1177095765963484e-15,1.0
1825.2,1.9063074509732175e-14,2.4516733778798358e-15,1.0
1826.6,2.382002404260297e-14,2.5986430427064396e-15,1.0
1828.0,1.7440268558414782e-14,2.679449402393652e-15,1.0
1829.4,1.7345438163125543e-14,2.3802365000910973e-15,1.0
1830.8,1.8561395201951503e-14,2.4439565330897045e-15,1.0
1832.2,2.0100249116991023e-14,2.7886612518186088e-15,1.0
1833.6,1.8562657376092706e-14,2.3673714967967157e-15,1.0
1835.0,2.249976883241772e-14,2.4494270136746133e-15,1.0
1836.4,2.0213239911366025e-14,2.795415473628537e-15,1.0
1837.8,1.9535518349539597e-14,2.429171276544422e-15,1.0
1839.2,2.078864151038164e-14,2.8160578161346015e-15,1.0
1840.6,2.190841185323898e-14,2.7911988175684758e-15,1.0
1842.0,2.0987202464725346e-14,2.2928295940571226e-15,1.0
1843.4,2.0083764630003468e-14,2.371467622633762e-15,1.0
1844.8,2.213479610401667e-14,2.3244266255146876e-15,1.0
1846.2,2.138955058902517e-14,2.3199824466519393e-15,1.0
1847.6,2.238269767464938e-14,2.4432641187654116e-15,1.0
1849.0,1.8702558843484498e-14,2.224182978100245e-15,1.0
1850.4,1.9322091147042646e-14,2.230106326163163e-15,1.0
1851.8,2.180432780731981e-14,2.4287747809856696e-15,1.0
1853.2,2.3109091858804366e-14,2.4212230157197245e-15,1.0
1854.6,2.094334107659475e-14,2.5403118333991256e-15,1.0
1856.0,2.3134891019097235e-14,2.6781486593623205e-15,1.0
1857.4,2.504616494026472e-14,2.3210899973836107e-15,1.0
1858.8,2.6347122744334204e-14,2.2209068786417277e-15,1.0
1860.2,2.4156833017026847e-14,2.2261966311313535e-15,1.0
1861.6,2.5934045125545708e-14,2.284292119823974e-15,1.0
1863.0,2.7070523260544704e-14,2.2612794309415256e-15,1.0
1864.4,2.1692640226830417e-14,2.127868147460139e-15,1.0
1865.8,2.4870454244219585e-14,2.2207965630354215e-15,1.0
1867.2,2.59638596963181e-14,2.170680435680587e-15,1.0
