log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-inf,,,
-2.853437452547744,41.03522626798716,40.98946877742649,41.149169620293996
-2.552407456883763,41.26104491360029,41.21528742303961,41.37498826590712
-2.376316197828082,41.39314035324761,41.347382862686935,41.50708370555444
-2.251377461219782,41.48686355921341,41.441106068652736,41.600806911520245
-2.1544674482117254,41.55956092558569,41.51380343502502,41.673504277892526
-2.0752862021641008,41.618958998860734,41.57320150830006,41.73290235116757
-2.0083394125334877,41.66917935424155,41.623421863680875,41.78312270654838
-1.9503474655558006,41.712682204826535,41.66692471426586,41.82662555713337
-1.8991949431084194,41.75105443850805,41.705296947947375,41.86499779081488
-1.8534374525477444,41.78537957119882,41.73962208063814,41.89932292350565
-1.8120447673895193,41.81643043069906,41.77067294013838,41.93037378300589
-1.7742562065001195,41.84477764447386,41.79902015391318,41.95872099678069
-1.7394941002409077,41.8708545533108,41.825097062750125,41.98479790561763
-1.7073094168695062,41.894997999854674,41.849240509294,42.00894135216151
-1.677346193492063,41.91747501084613,41.87171752028546,42.031418363152966
-1.6493174698918196,41.93850085043967,41.89274335987899,42.0524442027465
-1.6229885311694703,41.958251590792294,41.91249410023162,42.07219494309913
-1.5981649474444382,41.97687308412117,41.9311155935605,42.09081643642801
-1.5746838515949153,41.99448750573573,41.94873001517505,42.10843085804256
-1.5524074568837631,42.01119821681194,41.965440726251266,42.125141569118774
-1.531218157813825,42.027093439501996,41.98133594894132,42.14103679180883
-1.511014771725538,42.04224907631218,41.99649158575151,42.156192428619015
-1.4917096165301513,42.05673090225102,42.010973411690344,42.17067425455785
-1.4732262108361383,42.07059629008698,42.02483879952631,42.184539642393815
-1.4554974438757067,42.083895583184216,42.03813809262354,42.19783893549105
-1.4384641045769264,42.096673198923924,42.05091570836325,42.21061655123076
-1.422073688388757,42.108968523768496,42.06321103320782,42.22291187607533
-1.4062794212055252,42.1208166454678,42.07505915490712,42.23475999777463
-1.3910394546487883,42.13224895672117,42.086491466160496,42.246192309028004
-1.3763161978280818,42.14329365645926,42.09753616589858,42.25723700876609
-1.3620757587134715,42.15397616890027,42.1082186783396,42.267919521207105
-1.3482874742278383,42.16431949605279,42.118562005492116,42.278262848359624
-1.3349235126698569,42.174344515959504,42.12858702539883,42.28828786826634
-1.3219585355054893,42.18407023640542,42.13831274584474,42.29801358871225
-1.3093694081974687,42.19351401184008,42.147756521279405,42.30745736414691
-1.2971349517804571,42.2026917297343,42.15693423917362,42.31663508204113
-1.2852357284807494,42.211617971398226,42.16586048083755,42.32556132370506
-1.273653855930934,42.22030615134885,42.174548660788176,42.334249503655684
-1.262372845521245,42.22876863857124,42.183011148010564,42.34271199087807
-1.2513774612197819,42.237016862425065,42.19125937186439,42.3509602147319
-1.240653595828009,42.2450614054719,42.199303914911226,42.359004757778735
-1.2301881621498438,42.25291208511512,42.207154594554446,42.366855437421954
-1.2199689969681577,42.26057802563223,42.21482053507155,42.37452137793906
-1.209984776061557,42.268067721925306,42.22231023136463,42.38201107423214
-1.2002249387724007,42.27538909610658,42.229631605545904,42.38933244841341
-1.1906796208661703,42.28254954786414,42.23679205730347,42.396492900170976
-1.1813395946120269,42.28955599941077,42.2437985088501,42.403499351717606
-1.1721962151721572,42.296414935700106,42.25065744513943,42.41035828800694
-1.1632413725192305,42.303132440495936,42.25737494993526,42.41707579280277
-1.1544674482117256,42.30971422879735,42.26395673823667,42.42365758110418
-1.145867276449808,42.316165676052734,42.27040818549206,42.43010902835957
-1.1374341089129452,42.32249184453705,42.27673435397637,42.43643519684388
-1.1291615829469552,42.32869750721634,42.282940016655665,42.44264085952317
-1.1210436927247758,42.33478716938162,42.289029678820945,42.448730521688454
-1.1130747630535005,42.34076508829759,42.29500759773691,42.45470844060442
-1.105249425541544,42.34663529108093,42.300877800520254,42.46057864338776
-1.097562596875253,42.352401590996166,42.30664410043549,42.466344943303
-1.090009458984807,42.358067602334295,42.31231011177362,42.47201095464113
-1.0825854409056002,42.36363675401952,42.31787926345884,42.47758010632635
-1.0752862021641008,42.36911230207238,42.323354811511706,42.483055654379214
-1.0681076175369772,42.374497341042805,42.32873985048213,42.48844069334964
-1.0610457630494905,42.379794814513396,42.33403732395272,42.49373816682023
-1.0540969030941625,42.385007524762436,42.33925003420176,42.49895087706927
-1.047257478563857,42.390138141665915,42.34438065110524,42.50408149397275
-1.0405240959048887,42.39518921090933,42.349431720348655,42.50913256321616
-1.0338935170058756,42.40016316157263,42.35440567101195,42.51410651387946
-1.027362649846918,42.405062313144754,42.35930482258408,42.51900566545159
-1.020928539841508,42.40988888201854,42.36413139145787,42.523832234325376
-1.014588361810489,42.41464498751146,42.368887496950784,42.52858833981829
-1.0083394125334875,42.419332657453204,42.37357516689253,42.53327600976004
-1.0021791038286691,42.42395383337693,42.37819634281625,42.53789718568376
-0.9961049561164759,42.42851037534742,42.38275288478675,42.542453727654255
-0.9901145924272884,42.433004066456306,42.38724657589563,42.54694741876314
-0.9842057328167682,42.43743661701135,42.391679126450676,42.551379969318184
-0.9783761891560443,42.44180966844466,42.39605217788399,42.555753020751496
-0.9726238602669529,42.446124796961975,42.4003673064013,42.56006814926881
-0.9669467273752624,42.450383516953444,42.40462602639277,42.56432686926028
-0.9613428498572639,42.45458728418436,42.40882979362369,42.5685306364912
-0.9558103612573029,42.45873749878261,42.412980008221936,42.572680851089444
-0.9503474655558007,42.46283550803819,42.417078017477515,42.57677886034502
-0.9449524336690945,42.466882609028936,42.42112511846826,42.58082596133577
-0.9396236001640277,42.470880051085025,42.42512256052435,42.58482340339186
-0.9343593601716704,42.47482903810419,42.429071547543515,42.58877239041102
-0.9291581664858627,42.478730730728245,42.43297324016757,42.59267408303508
-0.9240185268334515,42.48258624839082,42.43682875783014,42.59652960069765
-0.9189390013041766,42.48639667124535,42.44063918068468,42.600340023552185
-0.9139181999291258,42.49016304198162,42.44440555142094,42.60410639428845
