Sparks,KE_(erg),KE_(erg)_lower_limit,KE_(erg)_upper_limit
10.0,1.5335552407932017e+51,1.0734886685552412e+51,1.9936218130311623e+51
11.414141414141413,1.5325717515094293e+51,1.0728002260566005e+51,1.9923432769622583e+51
12.828282828282829,1.5315882622256565e+51,1.0721117835579596e+51,1.9910647408933537e+51
14.242424242424242,1.530604772941884e+51,1.0714233410593188e+51,1.9897862048244494e+51
15.656565656565657,1.5296212836581114e+51,1.0707348985606779e+51,1.9885076687555448e+51
17.070707070707073,1.528637794374339e+51,1.0700464560620372e+51,1.987229132686641e+51
18.484848484848484,1.5276543050905665e+51,1.0693580135633964e+51,1.9859505966177365e+51
19.8989898989899,1.5266708158067937e+51,1.0686695710647555e+51,1.984672060548832e+51
21.313131313131315,1.5256873265230213e+51,1.0679811285661148e+51,1.9833935244799276e+51
22.727272727272727,1.5247038372392485e+51,1.0672926860674739e+51,1.9821149884110233e+51
24.141414141414142,1.523720347955476e+51,1.0666042435688332e+51,1.980836452342119e+51
25.555555555555557,1.5227368586717037e+51,1.0659158010701924e+51,1.9795579162732147e+51
26.96969696969697,1.521753369387931e+51,1.0652273585715515e+51,1.97827938020431e+51
28.383838383838384,1.5207698801041585e+51,1.0645389160729108e+51,1.977000844135406e+51
29.7979797979798,1.5197863908203857e+51,1.0638504735742699e+51,1.9757223080665015e+51
31.21212121212121,1.5188029015366133e+51,1.0631620310756292e+51,1.9744437719975972e+51
32.62626262626263,1.517819412252841e+51,1.0624735885769886e+51,1.9731652359286933e+51
34.04040404040404,1.516835922969068e+51,1.0617851460783475e+51,1.9718866998597887e+51
35.45454545454545,1.5158524336852957e+51,1.061096703579707e+51,1.9706081637908844e+51
36.868686868686865,1.514868944401523e+51,1.0604082610810659e+51,1.9693296277219797e+51
38.282828282828284,1.5138854551177505e+51,1.0597198185824253e+51,1.9680510916530758e+51
39.696969696969695,1.512901965833978e+51,1.0590313760837846e+51,1.9667725555841715e+51
41.111111111111114,1.5119184765502053e+51,1.0583429335851437e+51,1.965494019515267e+51
42.525252525252526,1.510934987266433e+51,1.057654491086503e+51,1.964215483446363e+51
43.93939393939394,1.50995149798266e+51,1.056966048587862e+51,1.9629369473774583e+51
45.35353535353536,1.5089680086988877e+51,1.0562776060892213e+51,1.961658411308554e+51
46.76767676767677,1.507984519415115e+51,1.0555891635905804e+51,1.9603798752396494e+51
48.18181818181818,1.5070010301313425e+51,1.0549007210919397e+51,1.9591013391707454e+51
49.5959595959596,1.50601754084757e+51,1.054212278593299e+51,1.957822803101841e+51
51.01010101010101,1.5050340515637973e+51,1.053523836094658e+51,1.9565442670329365e+51
52.42424242424242,1.5040505622800248e+51,1.0528353935960173e+51,1.9552657309640325e+51
53.83838383838384,1.503067072996252e+51,1.0521469510973764e+51,1.953987194895128e+51
55.25252525252525,1.5020835837124796e+51,1.0514585085987357e+51,1.9527086588262236e+51
56.666666666666664,1.5011000944287072e+51,1.050770066100095e+51,1.9514301227573193e+51
58.08080808080808,1.5001166051449344e+51,1.050081623601454e+51,1.950151586688415e+51
59.494949494949495,1.499133115861162e+51,1.0493931811028133e+51,1.9488730506195107e+51
60.90909090909091,1.4981496265773893e+51,1.0487047386041724e+51,1.947594514550606e+51
