log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-inf,,,
-2.853437452547744,40.58905828935312,40.543300798792444,40.70300164165995
-2.552407456883763,40.86952525925445,40.82376776869378,40.983468611561285
-2.376316197828082,41.03358791933762,40.987830428776945,41.14753127164445
-2.251377461219782,41.149992229155785,41.10423473859511,41.26393558146262
-2.1544674482117254,41.240282426454954,41.19452493589428,41.35422577876179
-2.0752862021641008,41.31405488923895,41.26829739867828,41.42799824154579
-2.0083394125334877,41.376428617780206,41.33067112721953,41.49037197008704
-1.9503474655558006,41.43045919905712,41.38470170849644,41.54440255136395
-1.8991949431084194,41.47811754932212,41.43236005876145,41.592060901628955
-1.8534374525477444,41.52074939635629,41.47499190579561,41.63469274866312
-1.8120447673895193,41.559314593013184,41.51355710245251,41.67325794532002
-1.7742562065001195,41.594521859140286,41.54876436857961,41.70846521144712
-1.7394941002409077,41.626909404402696,41.58115191384202,41.74085275670953
-1.7073094168695062,41.65689558768154,41.611138097120865,41.77083893998837
-1.677346193492063,41.684812056439455,41.63905456587878,41.79875540874629
-1.6493174698918196,41.71092616895845,41.66516867839778,41.824869521265285
-1.6229885311694703,41.7354566070229,41.68969911646222,41.84939995932973
-1.5981649474444382,41.758584519223454,41.71282702866278,41.87252787153029
-1.5746838515949153,41.78046164740915,41.73470415684847,41.89440499971598
-1.5524074568837631,41.80121636625762,41.755458875696945,41.91515971856445
-1.531218157813825,41.82095824776471,41.77520075720403,41.93490160007154
-1.511014771725538,41.83978156291452,41.79402407235384,41.95372491522135
-1.4917096165301513,41.85776800432937,41.8120105137687,41.971711356636206
-1.4732262108361383,41.87498882904162,41.829231338480945,41.98893218134845
-1.4554974438757067,41.89150656355678,41.84574907299611,42.005449915863615
-1.4384641045769264,41.90737637430403,41.861618883743354,42.02131972661086
-1.422073688388757,41.92264717930662,41.87688968874595,42.036590531613456
-1.4062794212055252,41.93736255758287,41.8916050670222,42.051305909889706
-1.3910394546487883,41.95156149889481,41.90580400833414,42.065504851201645
-1.3763161978280818,41.96527902634079,41.91952153578011,42.07922237864762
-1.3620757587134715,41.978546716823686,41.93278922626301,42.09249006913052
-1.3482874742278383,41.991393138859785,41.94563564829911,42.10533649116662
-1.3349235126698569,42.003844222997685,41.95808673243701,42.11778757530452
-1.3219585355054893,42.01592357692423,41.970166086363555,42.12986692923106
-1.3093694081974687,42.02765275488204,41.981895264321366,42.141596107188874
-1.2971349517804571,42.03905148912479,41.99329399856411,42.15299484143162
-1.2852357284807494,42.05013788965337,42.004380399092696,42.164081241960204
-1.273653855930934,42.06092861731048,42.015171126749806,42.174871969617314
-1.262372845521245,42.0714390343872,42.02568154382652,42.18538238669403
-1.2513774612197819,42.08168333615895,42.03592584559828,42.19562668846579
-1.240653595828009,42.09167466617716,42.04591717561649,42.205618018483996
-1.2301881621498438,42.10142521766604,42.055667727105366,42.215368569972874
-1.2199689969681577,42.11094632298681,42.06518883242614,42.224889675293646
-1.209984776061557,42.12024853281585,42.074491042255175,42.234191885122684
-1.2002249387724007,42.129341686423956,42.08358419586328,42.24328503873079
-1.1906796208661703,42.138234974230706,42.09247748367003,42.25217832653754
-1.1813395946120269,42.14693699363087,42.10117950307019,42.2608803459377
-1.1721962151721572,42.15545579894295,42.10969830838228,42.269399151249786
-1.1632413725192305,42.163798946207294,42.11804145564662,42.27774229851413
-1.1544674482117256,42.171973533458115,42.12621604289744,42.28591688576495
-1.145867276449808,42.1799862370074,42.13422874644672,42.29392958931423
-1.1374341089129452,42.18784334420536,42.14208585364469,42.301786696512195
-1.1291615829469552,42.19555078308032,42.14979329251965,42.309494135387155
