log Ni_mass,log Peak_Flux_(erg/s),log Peak_Flux_(erg/s)_lower_limit,log Peak_Flux_(erg/s)_upper_limit
-inf,,,
-2.853437452547744,40.81711979931123,40.771362308750554,40.93106315161806
-2.552407456883763,41.054339867328196,41.00858237676752,41.16828321963503
-2.376316197828082,41.19567934923338,41.149921858672705,41.30962270154021
-2.251377461219782,41.297113848717515,41.25135635815684,41.41105720102435
-2.1544674482117254,41.37645139180914,41.330693901248466,41.490394744115974
-2.0752862021641008,41.44170216167779,41.395944671117114,41.55564551398462
-2.0083394125334877,41.4971706885669,41.45141319800622,41.61111404087373
-1.9503474655558006,41.545441743479195,41.49968425291852,41.65938509578603
-1.8991949431084194,41.58819091897646,41.542433428415784,41.70213427128329
-1.8534374525477444,41.626567247321944,41.58080975676127,41.74051059962878
-1.8120447673895193,41.66139340465868,41.61563591409801,41.775336756965515
-1.7742562065001195,41.69327888749454,41.64752139693387,41.807222239801376
-1.7394941002409077,41.72268797367387,41.676930483113196,41.836631325980704
-1.7073094168695062,41.74998256262642,41.704225072065746,41.863925914933255
-1.677346193492063,41.77545028132947,41.729692790768794,41.8893936336363
-1.6493174698918196,41.79932355161323,41.75356606105255,41.91326690392006
-1.6229885311694703,41.82179289943672,41.77603540887605,41.935736251743556
-1.5981649474444382,41.843016475848295,41.79725898528762,41.95695982815513
-1.5746838515949153,41.863127015096374,41.8173695245357,41.97707036740321
-1.5524074568837631,41.882237016207114,41.83647952564644,41.99618036851395
-1.531218157813825,41.90044266638503,41.85468517582436,42.014386018691866
-1.511014771725538,41.91782685620314,41.87206936564247,42.031770208509975
-1.4917096165301513,41.93446152793593,41.888704037375255,42.048404880242764
-1.4732262108361383,41.95040952668366,41.90465203612298,42.06435287899049
-1.4554974438757067,41.96572607559934,41.91996858503867,42.079669427906175
-1.4384641045769264,41.98045996332502,41.93470247276434,42.09440331563185
-1.422073688388757,41.99465450854045,41.948897017979775,42.10859786084728
-1.4062794212055252,42.008348350058306,41.96259085949763,42.12229170236514
-1.3910394546487883,42.021576099041695,41.97581860848102,42.13551945134853
-1.3763161978280818,42.034368881269714,41.98861139070904,42.14831223357655
-1.3620757587134715,42.046754790989034,42.00099730042836,42.16069814329587
-1.3482874742278383,42.05875927311961,42.01300178255894,42.172702625426446
-1.3349235126698569,42.07040544698389,42.024647956423216,42.184348799290724
-1.3219585355054893,42.081714381986714,42.03595689142604,42.19565773429355
-1.3093694081974687,42.092705333565064,42.04694784300439,42.2066486858719
-1.2971349517804571,42.10339594609249,42.057638455531816,42.217339298399324
-1.2852357284807494,42.113802428145675,42.068044937585,42.22774578045251
-1.273653855930934,42.12393970453505,42.07818221397437,42.23788305684188
-1.262372845521245,42.133821548703956,42.08806405814328,42.24776490101079
-1.2513774612197819,42.14346069846463,42.097703207903955,42.25740405077146
-1.240653595828009,42.15286895752804,42.10711146696737,42.266812309834876
-1.2301881621498438,42.16205728487199,42.11629979431132,42.276000637178825
-1.2199689969681577,42.17103587365629,42.12527838309561,42.28497922596312
-1.209984776061557,42.17981422111996,42.13405673055929,42.293757573426795
-1.2002249387724007,42.188401190670724,42.14264370011005,42.30234454297756
-1.1906796208661703,42.19680506719132,42.151047576630646,42.310748419498154
-1.1813395946120269,42.20503360643382,42.15927611587315,42.318976958740656
-1.1721962151721572,42.213094079245124,42.16733658868445,42.32703743155196
-1.1632413725192305,42.22099331125992,42.17523582069924,42.33493666356675
-1.1544674482117256,42.22873771860799,42.18298022804731,42.34268107091482
-1.145867276449808,42.236333340107045,42.19057584954637,42.35027669241388
-1.1374341089129452,42.24378586634851,42.198028375787835,42.357729218655344
-1.1291615829469552,42.25110066602971,42.20534317546903,42.36504401833654
-1.1210436927247758,42.25828280983973,42.21252531927905,42.37222616214656
-1.1130747630535005,42.26533709216693,42.219579601606256,42.379280444473764
-1.105249425541544,42.27226805086254,42.22651056030187,42.386211403169376
