log Fraction_Shell_IGE/burned,log Fraction_Shell_Ni56/IGE,log Fraction_Shell_Ni56/IGE_lower_limit,log Fraction_Shell_Ni56/IGE_upper_limit
-2.2,-4.943814317674436,-5.943814317674436,-4.665060716721607
-2.178787878787879,-4.89526138779855,-5.89526138779855,-4.616507786845721
-2.1575757575757577,-4.846708457922663,-5.846708457922663,-4.567954856969834
-2.1363636363636367,-4.798155528046777,-5.798155528046777,-4.5194019270939485
-2.1151515151515152,-4.74960259817089,-5.74960259817089,-4.470848997218061
-2.093939393939394,-4.7010496682950045,-5.7010496682950045,-4.422296067342176
-2.0727272727272728,-4.652496738419117,-5.652496738419117,-4.373743137466288
-2.0515151515151517,-4.603943808543232,-5.603943808543232,-4.325190207590403
-2.0303030303030303,-4.555390878667344,-5.555390878667344,-4.276637277714515
-2.0090909090909093,-4.506837948791459,-5.506837948791459,-4.22808434783863
-1.987878787878788,-4.458285018915572,-5.458285018915572,-4.179531417962743
-1.9666666666666668,-4.409732089039686,-5.409732089039686,-4.130978488086857
-1.9454545454545455,-4.361179159163799,-5.361179159163799,-4.0824255582109705
-1.9242424242424243,-4.312626229287913,-5.312626229287913,-4.033872628335084
-1.9030303030303033,-4.2640732994120265,-5.2640732994120265,-3.9853196984591976
-1.881818181818182,-4.21552036953614,-5.21552036953614,-3.936766768583311
-1.8606060606060608,-4.166967439660254,-5.166967439660254,-3.8882138387074248
-1.8393939393939396,-4.118414509784367,-5.118414509784367,-3.8396609088315383
-1.8181818181818183,-4.069861579908481,-5.069861579908481,-3.791107978955652
-1.796969696969697,-4.021308650032594,-5.021308650032594,-3.7425550490797654
-1.7757575757575759,-3.972755720156708,-4.972755720156708,-3.694002119203879
-1.7545454545454546,-3.9242027902808214,-4.924202790280821,-3.6454491893279926
-1.7333333333333334,-3.875649860404935,-4.875649860404935,-3.596896259452106
-1.7121212121212124,-3.827096930529049,-4.8270969305290485,-3.54834332957622
-1.690909090909091,-3.7785440006531616,-4.778544000653161,-3.499790399700333
-1.66969696969697,-3.729991070777276,-4.729991070777276,-3.4512374698244472
-1.6484848484848487,-3.681438140901389,-4.681438140901389,-3.4026845399485603
-1.6272727272727274,-3.6328852110255028,-4.632885211025503,-3.354131610072674
-1.6060606060606062,-3.5843322811496163,-4.584332281149616,-3.3055786801967875
-1.584848484848485,-3.53577935127373,-4.53577935127373,-3.257025750320901
-1.563636363636364,-3.487226421397844,-4.487226421397844,-3.208472820445015
-1.5424242424242425,-3.438673491521957,-4.438673491521957,-3.159919890569128
-1.5212121212121215,-3.390120561646071,-4.3901205616460715,-3.111366960693242
-1.5,-3.341567631770184,-4.341567631770184,-3.0628140308173553
-1.478787878787879,-3.293014701894298,-4.293014701894299,-3.0142611009414693
-1.4575757575757577,-3.2444617720184117,-4.244461772018411,-2.965708171065583
-1.4363636363636365,-3.1959088421425252,-4.195908842142526,-2.9171552411896964
-1.4151515151515153,-3.147355912266639,-4.147355912266638,-2.86860231131381
-1.393939393939394,-3.0988029823907524,-4.098802982390753,-2.8200493814379235
-1.372727272727273,-3.0502500525148664,-4.050250052514866,-2.7714964515620375
-1.3515151515151516,-3.0016971226389795,-4.00169712263898,-2.7229435216861506
-1.3303030303030305,-2.9531441927630935,-3.9531441927630935,-2.6743905918102646
-1.309090909090909,-2.9045912628872066,-3.9045912628872066,-2.6258376619343777
-1.287878787878788,-2.8560383330113206,-3.8560383330113206,-2.5772847320584917
-1.2666666666666668,-2.807485403135434,-3.807485403135434,-2.5287318021826053
-1.2454545454545456,-2.7589324732595473,-3.7589324732595473,-2.4801788723067184
-1.2242424242424244,-2.710379543383661,-3.710379543383661,-2.431625942430832
-1.2030303030303031,-2.6618266135077744,-3.6618266135077744,-2.3830730125549455
-1.1818181818181819,-2.613273683631888,-3.613273683631888,-2.334520082679059
-1.1606060606060606,-2.5647207537560015,-3.5647207537560015,-2.2859671528031726
-1.1393939393939394,-2.516167823880115,-3.516167823880115,-2.237414222927286
-1.1181818181818184,-2.467614894004229,-3.467614894004229,-2.1888612930514
-1.0969696969696972,-2.4190619641283426,-3.4190619641283426,-2.1403083631755138
-1.075757575757576,-2.370509034252456,-3.370509034252456,-2.0917554332996273
-1.0545454545454547,-2.3219561043765697,-3.3219561043765697,-2.043202503423741
-1.0333333333333334,-2.2734031745006833,-3.2734031745006833,-1.9946495735478544
-1.0121212121212122,-2.224850244624797,-3.224850244624797,-1.946096643671968
-0.990909090909091,-2.1762973147489104,-3.1762973147489104,-1.8975437137960816
-0.9696969696969697,-2.127744384873024,-3.127744384873024,-1.8489907839201951
-0.9484848484848485,-2.0791914549971375,-3.0791914549971375,-1.8004378540443087
-0.9272727272727275,-2.0306385251212515,-3.0306385251212515,-1.7518849241684227
-0.9060606060606062,-1.982085595245365,-2.982085595245365,-1.7033319942925362
-0.884848484848485,-1.9335326653694787,-2.9335326653694787,-1.6547790644166498
-0.8636363636363638,-1.884979735493592,-2.8849797354935918,-1.6062261345407631
-0.8424242424242425,-1.8364268056177055,-2.8364268056177053,-1.5576732046648767
-0.8212121212121213,-1.787873875741819,-2.787873875741819,-1.5091202747889902
-0.8,-1.7393209458659324,-2.7393209458659324,-1.4605673449131036
-0.7787878787878788,-1.690768015990046,-2.690768015990046,-1.4120144150372171
-0.7575757575757576,-1.6422150861141596,-2.6422150861141596,-1.3634614851613307
